code,code_check,title,value
132962,132962,Потенциал хранения:,5-7 лет.
132962,132962,Аппелласьон:,Mendoza
132962,132962,Категория:,Indicacion de Procedencia (IP)
132962,132962,Декантация:,аэрация
132962,132962,Выдержка в емкости:,Бочка
129316,129316,Объем:,0.75 л
129316,129316,Регион:,Сицилия
129316,129316,Год:,2018
129316,129316,Потенциал хранения:,5-7 лет.
129316,129316,Аппелласьон:,Etna DOC
129316,129316,Категория:,Denominazione di Origine Controllata (DOC)
129316,129316,Декантация:,аэрация
129316,129316,Выдержка в емкости:,Бочка
131091,131091,Год:,2020
131091,131091,Потенциал хранения:,3-5 лет.
131091,131091,Аппелласьон:,Beaujolais-Villages AOC
131091,131091,Категория:,Appellation d'Origine Controlee (AOC)
131091,131091,Декантация:,аэрация
131091,131091,Выдержка в емкости:,Нейтральная емкость
130004,130004,rating,4.8
130004,130004,"Страна, регион:","Испания##, Риоха"
130004,130004,Вино:,красное
130004,130004,Сахар:,сухое
